index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,line,0,50.0,2620.9612,1914.7543
0,line,1,50.0,1553.687,2020.9509
1,line,0,50.0,2647.5103,1643.9531
1,line,1,50.0,2143.078,2116.5266
2,line,0,50.0,2764.3264,1819.1774
2,line,1,50.0,2477.5928,2387.328
3,line,0,50.0,3348.4072,2859.9033
3,line,1,50.0,3045.7473,2281.1323
4,line,0,0.0,2068.7393,682.87463
4,line,1,0.0,1702.3606,82.86438
5,line,0,0.0,1298.8145,279.32785
5,line,1,0.0,1081.112,555.4387
6,line,0,0.0,3019.198,3491.7727
6,line,1,0.0,2578.482,3964.3464
7,line,0,1.0,805.0006,1654.5728
7,line,1,1.0,1750.1501,1426.2489
8,line,0,1.0,2148.3867,1734.2202
8,line,1,1.0,2567.862,1612.0945
9,line,0,1.0,2536.004,1691.7416
9,line,1,1.0,3003.2695,1967.8545
10,line,0,1.0,274.018,2419.1877
10,line,1,1.0,3.216858,2249.2737
11,line,0,1.0,2498.8352,3730.7148
11,line,1,1.0,1978.4722,3985.5862
12,line,0,1.0,2913.0017,321.80646
12,line,1,1.0,2520.0745,284.63766
13,line,0,1.0,1920.0641,-193.24669
13,line,1,1.0,1933.3386,-179.97212
14,line,0,0.0,937.7463,1728.9104
14,line,1,0.0,635.0862,1909.4445
15,line,0,2.0,263.39835,539.50934
15,line,1,2.0,2392.6396,1686.4329
16,line,0,2.0,884.648,1760.7693
16,line,1,2.0,40.385803,3486.4626
17,line,0,2.0,2111.2178,3369.6467
17,line,1,2.0,2472.2876,4107.713
18,line,0,3.0,1197.9277,258.08853
18,line,1,3.0,295.25732,688.18445
19,line,0,3.0,3661.687,1824.4872
19,line,1,3.0,2859.9036,1941.3032
20,line,0,3.0,3093.5356,2902.3818
20,line,1,3.0,2695.2996,3114.775
21,line,0,4.0,2222.724,2721.848
21,line,1,4.0,1128.8997,3130.7043
22,line,0,4.0,1059.8723,3125.3945
22,line,1,4.0,789.07117,3066.9866
23,line,0,4.0,2992.649,3247.5208
23,line,1,4.0,3964.347,3990.895
24,line,0,4.0,1065.1821,1134.2098
24,line,1,4.0,1574.9255,1957.2329
25,line,0,4.0,1160.759,608.53705
25,line,1,4.0,1580.236,1691.74
26,line,0,4.0,1569.6156,1734.2202
26,line,1,4.0,1691.7415,2451.0461
27,line,0,4.0,1325.3635,1691.7416
27,line,1,4.0,2132.4578,778.45154
28,line,0,4.0,2307.6814,1797.9381
28,line,1,4.0,2100.5986,900.57666
29,line,0,4.0,2243.9636,629.77637
29,line,1,4.0,2052.81,1341.293
30,line,0,4.0,3194.4224,311.1868
30,line,1,4.0,2493.525,1197.928
31,line,0,5.0,2355.47,2339.5403
31,line,1,5.0,2185.5544,3704.1646
32,line,0,5.0,2828.0444,3008.5784
32,line,1,5.0,2089.978,3252.83
33,line,0,5.0,2026.2606,3231.591
33,line,1,5.0,1633.3335,3162.5632
34,line,0,5.0,2960.79,2997.9587
34,line,1,5.0,2047.4988,3560.8013
35,line,0,5.0,2121.8374,3725.405
35,line,1,5.0,1734.2203,3948.4172
36,line,0,6.0,1367.8422,1266.9554
36,line,1,6.0,2206.7942,1840.4185
37,line,0,7.0,2281.1323,2111.2178
37,line,1,7.0,916.5065,2472.2854
38,line,0,7.0,2259.893,2153.6965
38,line,1,7.0,1527.1377,2456.356
39,line,0,8.0,2504.145,2902.3818
39,line,1,8.0,1951.9226,3459.9138
40,line,0,8.0,1266.9554,1107.6608
40,line,1,8.0,1633.334,1638.643
41,line,0,9.0,1553.6862,1171.3787
41,line,1,9.0,1150.1392,2360.7793
42,line,0,9.0,1203.2375,2403.2583
42,line,1,9.0,2328.9202,2626.058
43,line,0,9.0,1766.0791,2238.6536
43,line,1,9.0,3013.8877,2875.8337
44,line,0,9.0,2530.694,2222.724
44,line,1,9.0,2567.8628,3130.7039
45,line,0,9.0,2928.9312,1728.9104
45,line,1,9.0,2801.495,2780.2563
46,line,0,9.0,3481.153,29.766008
46,line,1,9.0,3385.5762,571.3683
47,line,0,9.0,3905.939,1081.1116
47,line,1,9.0,3937.7979,1797.938
48,line,0,10.0,3810.3623,194.37062
48,line,1,10.0,3624.521,921.8167
49,line,0,10.0,3316.5483,2429.8074
49,line,1,10.0,2918.3123,3098.845
50,line,0,10.0,1251.026,1043.9427
50,line,1,10.0,2068.7373,1197.9287
51,line,0,10.0,1282.885,1102.3508
51,line,1,10.0,2116.5269,1463.4187
52,line,0,11.0,2089.9785,1697.0514
52,line,1,11.0,1728.9099,2897.073
53,line,0,12.0,900.5775,1904.1346
53,line,1,12.0,2360.7793,2259.893
54,line,0,12.0,2366.0896,2259.893
54,line,1,12.0,2379.364,2273.1675
55,line,0,12.0,1813.8676,2217.4143
55,line,1,12.0,1208.5483,2859.9048
56,line,0,13.0,3523.6316,3465.2234
56,line,1,13.0,2297.06,3104.1538
57,line,0,13.0,2281.1323,3093.5356
57,line,1,13.0,1824.4875,3183.3918
58,line,0,13.0,539.50934,805.0006
58,line,1,13.0,1341.293,1155.4491
59,line,0,14.0,762.52203,1426.2502
59,line,1,14.0,1681.1206,1808.5581
60,line,0,14.0,720.0434,2769.6362
60,line,1,14.0,958.98584,2997.96
61,line,0,14.0,2334.2305,1792.6283
61,line,1,14.0,2504.1462,2482.9062
62,line,0,14.0,2233.3438,1474.0387
62,line,1,14.0,1505.8984,1325.3639
63,line,0,14.0,3162.5635,1851.0364
63,line,1,14.0,2663.4395,1718.291
64,line,0,15.0,2456.3564,943.0561
64,line,1,15.0,1293.5056,1447.489
65,line,0,15.0,1261.6456,1463.4191
65,line,1,15.0,1081.1116,1622.7139
66,line,0,15.0,2812.115,2753.7068
66,line,1,15.0,2010.3306,3157.2534
67,line,0,15.0,2429.8074,2976.7195
67,line,1,15.0,1904.1343,3321.8586
68,line,0,15.0,2408.568,475.7914
68,line,1,15.0,2711.2278,889.95764
69,line,0,15.0,3672.3066,2817.4248
69,line,1,15.0,3295.3096,3120.0845
70,line,0,16.0,608.53705,1898.8248
70,line,1,16.0,337.73575,2605.0315
71,line,0,16.0,449.24228,2392.6387
71,line,1,16.0,2190.8643,1458.1062
72,line,0,16.0,3205.042,921.8168
72,line,1,16.0,2780.2534,1665.1919
73,line,0,16.0,2865.2131,1415.6306
73,line,1,16.0,2397.9495,1946.6132
74,line,0,17.0,236.84923,2759.0166
74,line,1,17.0,1139.5193,2870.5227
75,line,0,17.0,316.4966,3289.9993
75,line,1,17.0,1532.4479,2668.751
76,line,0,17.0,3475.8433,401.45383
76,line,1,17.0,2732.4675,1564.3053
77,line,0,18.0,566.0585,709.42377
77,line,1,18.0,1845.7264,1516.5171
78,line,0,18.0,2318.301,2913.0017
78,line,1,18.0,2950.1697,4086.4722
79,line,0,18.0,1835.1069,125.34288
79,line,1,18.0,1835.1069,1118.2803
80,line,0,18.0,2551.9333,162.51166
80,line,1,18.0,2551.9333,932.43634
81,line,0,18.0,2520.0745,985.5347
81,line,1,18.0,2913.0007,1771.3882
82,line,0,19.0,3141.3242,773.14166
82,line,1,19.0,2238.6438,1601.4736
83,line,0,19.0,2148.3867,2456.3564
83,line,1,19.0,2010.3313,3470.5325
84,line,0,20.0,247.46889,3332.4778
84,line,1,20.0,1118.2806,3842.2227
85,line,0,20.0,135.96252,2859.9033
85,line,1,20.0,385.5244,3762.574
86,line,0,20.0,879.3382,2031.5704
86,line,1,20.0,1251.0262,2488.2158
87,line,0,20.0,2127.1472,2068.7393
87,line,1,20.0,1261.6462,2477.5964
88,line,0,20.0,2212.1045,1585.545
88,line,1,20.0,1861.6567,2461.6658
89,line,0,20.0,3040.4375,1548.3762
89,line,1,20.0,1935.9943,1479.3485
90,line,0,21.0,1304.1243,1272.2654
90,line,1,21.0,2286.4421,1415.6304
91,line,0,21.0,3284.6895,2174.9358
91,line,1,21.0,2817.424,2466.9756
92,line,0,22.0,2079.359,1691.7416
92,line,1,22.0,2180.2454,2520.0745
93,line,0,22.0,1261.6456,948.3659
93,line,1,22.0,1628.0234,1537.7561
94,line,0,22.0,1872.2756,698.8041
94,line,1,22.0,1681.1221,1134.2096
95,line,0,23.0,1760.7693,1606.7844
95,line,1,23.0,1898.8257,2504.1443
96,line,0,23.0,2180.2456,2344.85
96,line,1,23.0,3109.465,2615.652
97,line,0,23.0,2143.077,1537.7566
97,line,1,23.0,2488.2173,2286.442
98,line,0,23.0,2281.1323,1468.7289
98,line,1,23.0,2466.9758,2074.0493
99,line,0,24.0,2063.4294,1856.3462
99,line,1,24.0,1872.2756,2769.6357
100,line,0,24.0,1872.2756,2838.664
100,line,1,24.0,2297.0615,3162.5637
101,line,0,24.0,858.0989,1877.5854
101,line,1,24.0,1314.7439,1819.1771
102,line,0,25.0,13.836531,2913.0017
102,line,1,25.0,741.28265,3624.5198
103,line,0,25.0,2955.4802,895.26764
103,line,1,25.0,2859.9036,1596.1648
104,line,0,25.0,2536.004,3629.8281
104,line,1,25.0,2116.5286,3736.0244
105,line,0,26.0,2031.5704,2052.8098
105,line,1,26.0,2902.381,2881.1409
106,line,0,27.0,2689.989,231.5394
106,line,1,27.0,3704.1636,1782.0083
107,line,0,27.0,2594.412,2424.4976
107,line,1,27.0,1983.7827,2774.946
108,line,0,28.0,470.48157,1139.5197
108,line,1,28.0,1304.1245,1511.2073
109,line,0,29.0,3125.3945,2190.8652
109,line,1,29.0,3815.6716,2259.8928
110,line,0,29.0,1612.0942,879.3382
110,line,1,29.0,1118.2805,1431.5596
111,line,0,29.0,1649.263,805.0006
111,line,1,29.0,2265.2021,730.6635
112,line,0,29.0,1819.1774,1405.011
112,line,1,29.0,1564.3059,1925.3737
113,line,0,29.0,1574.9254,1782.0087
113,line,1,29.0,1102.3508,1888.2058
114,line,0,29.0,1766.0791,1075.8018
114,line,1,29.0,2201.4817,2074.0486
115,line,0,29.0,2493.5254,2658.13
115,line,1,29.0,2934.242,3199.732
116,line,0,30.0,879.3382,2238.6536
116,line,1,30.0,417.38333,2578.4822
117,line,0,30.0,528.88965,470.48157
117,line,1,30.0,1256.3359,412.0736
118,line,0,30.0,1282.885,438.62262
118,line,1,30.0,1750.1494,810.3103
119,line,0,31.0,1580.2352,2036.8802
119,line,1,31.0,2222.7239,2129.93
120,line,0,31.0,2376.7092,1028.0133
120,line,1,31.0,3130.7048,1442.1802
121,line,0,31.0,3709.4756,305.87695
121,line,1,31.0,3327.1687,974.91534
122,line,0,31.0,3311.2385,1022.7035
122,line,1,31.0,3300.619,1341.293
123,line,0,31.0,619.15674,1760.7693
123,line,1,31.0,1070.492,2557.2427
124,line,0,31.0,481.10123,3475.8433
124,line,1,31.0,93.48392,4081.162
125,line,0,32.0,1787.3185,2849.2837
125,line,1,32.0,3374.9534,3454.6033
126,line,0,32.0,210.3001,1091.7312
126,line,1,32.0,820.9301,1420.9404
127,line,0,32.0,2212.1045,1022.7035
127,line,1,32.0,1479.3501,1293.5046
128,line,0,33.0,1086.4214,2089.9785
128,line,1,33.0,2615.651,2790.874
129,line,0,33.0,1856.3462,1405.011
129,line,1,33.0,2201.4841,2530.694
130,line,0,34.0,2982.0293,2259.893
130,line,1,34.0,2498.8352,2849.2834
131,line,0,34.0,2870.523,2913.0017
131,line,1,34.0,3396.1938,2881.142
132,line,0,34.0,3035.1277,1128.9
132,line,1,34.0,2801.495,1516.5176
133,line,0,34.0,2817.4248,1543.0664
133,line,1,34.0,2732.4692,2089.9785
134,line,0,35.0,3417.435,3130.7043
134,line,1,35.0,2859.9045,4038.6853
135,line,0,35.0,2992.649,3019.198
135,line,1,35.0,3465.2239,3619.209
136,line,0,35.0,2939.5508,2997.9587
136,line,1,35.0,2382.0186,2806.8052
137,line,0,35.0,1989.0918,125.34288
137,line,1,35.0,1548.3759,826.23975
138,line,0,36.0,1489.9681,1304.1243
138,line,1,36.0,2950.1687,1946.6104
139,line,0,36.0,2217.4143,619.15674
139,line,1,36.0,2620.9604,1712.9808
140,line,0,36.0,2658.13,3438.6743
140,line,1,36.0,2732.4673,4065.2327
141,line,0,36.0,109.4134,1574.9254
141,line,1,36.0,672.255,2334.2295
142,line,0,37.0,1012.08386,1219.1671
142,line,1,37.0,2238.6536,1521.8269
143,line,0,37.0,932.43646,3550.1807
143,line,1,37.0,1335.9833,3316.5488
144,line,0,38.0,1569.6156,874.0284
144,line,1,38.0,502.339,2461.6663
145,line,0,38.0,3316.5483,1670.5023
145,line,1,38.0,3528.941,2801.4954
146,line,0,38.0,3757.264,2461.6663
146,line,1,38.0,3385.577,3311.2388
147,line,0,38.0,3566.11,406.76367
147,line,1,38.0,3061.677,491.72116
148,line,0,38.0,3061.6768,491.7209
148,line,1,38.0,3051.0571,1272.2649
149,line,0,39.0,2382.019,1240.4064
149,line,1,39.0,3189.1108,1978.4714
150,line,0,39.0,2849.2837,1489.9681
150,line,1,39.0,3045.7468,1803.2478
151,line,0,39.0,3114.775,2015.641
151,line,1,39.0,2716.5388,1734.2208
152,line,0,39.0,2700.6086,1728.9104
152,line,1,39.0,2047.4998,1914.7542
153,line,0,39.0,1012.08386,2573.1726
153,line,1,39.0,1601.4747,2796.185
154,line,0,39.0,2445.7368,3778.5032
154,line,1,39.0,2939.5498,3959.037
155,line,0,39.0,3736.0247,2084.6687
155,line,1,39.0,3236.901,2084.6687
156,line,0,40.0,677.5648,2504.145
156,line,1,40.0,1606.7844,2806.8044
157,line,0,40.0,3252.8306,1065.1821
157,line,1,40.0,1941.2979,2748.398
158,line,0,41.0,1463.4191,1251.026
158,line,1,41.0,1596.1644,2005.0208
159,line,0,41.0,1675.8121,1436.8699
159,line,1,41.0,1675.8121,1898.8248
160,line,0,41.0,1712.9808,1925.3739
160,line,1,41.0,2286.4417,2551.933
161,line,0,41.0,2058.1196,1835.1069
161,line,1,41.0,2392.638,2541.3142
162,line,0,42.0,2143.077,1261.6456
162,line,1,42.0,1935.9915,2594.412
163,line,0,42.0,2504.145,2127.1472
163,line,1,42.0,1590.8557,3088.2246
164,line,0,42.0,3465.2234,1925.3739
164,line,1,42.0,2976.7192,2350.1604
165,line,0,42.0,2944.8606,2371.3994
165,line,1,42.0,2015.6418,2732.4668
166,line,0,43.0,2753.7068,2328.9207
166,line,1,43.0,1410.3237,2881.1418
167,line,0,43.0,1866.9658,1495.2781
167,line,1,43.0,1309.4333,1548.3765
168,line,0,44.0,2833.3542,1043.9427
168,line,1,44.0,1787.318,1904.1355
169,line,0,45.0,1728.9104,2015.641
169,line,1,45.0,528.8895,3051.0564
170,line,0,45.0,1405.011,3730.7148
170,line,1,45.0,720.04364,3730.7148
171,line,0,45.0,88.174095,3162.5635
171,line,1,45.0,672.2547,3725.4038
172,line,0,45.0,316.4966,3412.1252
172,line,1,45.0,141.27235,3518.3218
173,line,0,45.0,45.695488,3794.4326
173,line,1,45.0,348.35553,4091.7825
174,line,0,45.0,3996.206,544.81915
174,line,1,45.0,3003.2683,1075.802
175,line,0,46.0,1675.8121,1086.4214
175,line,1,46.0,932.43604,1431.5603
176,line,0,46.0,2084.6687,3189.1125
176,line,1,46.0,2132.457,4075.8542
177,line,0,46.0,1654.5728,1304.1243
177,line,1,46.0,1612.0942,2759.0168
178,line,0,46.0,1564.3058,863.4087
178,line,1,46.0,2243.9634,2020.952
179,line,0,46.0,2302.3716,831.54974
179,line,1,46.0,1654.5742,1691.7402
180,line,0,46.0,1670.5023,56.31514
180,line,1,46.0,1803.2477,385.52448
181,line,0,47.0,353.6654,826.2399
181,line,1,47.0,889.9576,921.8166
182,line,0,47.0,895.26764,943.0561
182,line,1,47.0,1357.2217,1617.4028
183,line,0,47.0,1367.8422,1633.3335
183,line,1,47.0,1367.8422,2966.0996
184,line,0,47.0,905.8873,2052.8098
184,line,1,47.0,1776.699,2849.284
185,line,0,47.0,2132.457,2509.4548
185,line,1,47.0,1028.0151,3305.927
186,line,0,47.0,3390.886,1893.515
186,line,1,47.0,2684.6797,1994.4016
187,line,0,47.0,2371.3994,2578.4827
187,line,1,47.0,2944.8604,3406.816
188,line,0,48.0,109.4134,1845.7266
188,line,1,48.0,996.15485,2238.6528
189,line,0,48.0,990.84454,2238.6536
189,line,1,48.0,1521.8276,2780.2585
190,line,0,48.0,1532.4468,2796.1853
190,line,1,48.0,1766.0791,3162.5637
191,line,0,49.0,1755.4595,2350.16
191,line,1,49.0,2514.764,2562.5542
192,line,0,49.0,2530.694,2578.4827
192,line,1,49.0,2966.0989,3215.6606
193,line,0,49.0,2982.0293,3236.901
193,line,1,49.0,3029.8174,4081.1633
194,line,0,49.0,2530.694,3720.0952
194,line,1,49.0,2934.2417,4075.8528
195,line,0,49.0,2477.596,3374.9565
195,line,1,49.0,2132.4573,3465.2234
196,line,0,49.0,2445.7368,730.6631
196,line,1,49.0,2759.0166,1304.1243
197,line,0,49.0,1022.7035,1134.2098
197,line,1,49.0,704.114,1920.064
198,line,0,50.0,1213.8572,1272.2654
198,line,1,50.0,1245.7169,2328.9214
199,line,0,50.0,1245.7162,2382.019
199,line,1,50.0,709.4249,3205.0405
200,line,0,51.0,836.85956,927.12665
200,line,1,51.0,762.52203,2010.3308
201,line,0,51.0,757.21216,2010.3312
201,line,1,51.0,1012.0839,2960.7896
202,line,0,51.0,927.12665,2605.0317
202,line,1,51.0,1744.8397,3927.1782
203,line,0,51.0,465.17175,3682.9263
203,line,1,51.0,1622.7144,3098.8447
204,line,0,51.0,3443.9841,592.6076
204,line,1,51.0,3029.8186,1351.9124
205,line,0,51.0,2971.4097,1882.8954
205,line,1,51.0,3645.7568,2812.114
206,line,0,52.0,1097.041,2084.6687
206,line,1,52.0,2089.979,3157.2512
207,line,0,52.0,3268.76,847.47925
207,line,1,52.0,2095.287,1888.2041
208,line,0,52.0,2966.0999,2578.4827
208,line,1,52.0,2196.1763,2514.7644
209,line,0,52.0,1888.2052,2254.5833
209,line,1,52.0,2174.9353,2530.6936
210,line,0,53.0,263.39835,566.0585
210,line,1,53.0,1851.0367,1070.4913
211,line,0,53.0,3003.2686,2180.2456
211,line,1,53.0,3274.0693,3820.9812
212,line,0,53.0,3433.3645,1240.4064
212,line,1,53.0,3088.2256,1442.1793
213,line,0,54.0,1468.7289,937.7463
213,line,1,54.0,1468.7289,1511.207
214,line,0,54.0,1458.1093,1527.137
214,line,1,54.0,1341.293,2222.7239
215,line,0,54.0,1851.0364,1712.9808
215,line,1,54.0,969.6053,2679.3684
216,line,0,55.0,3252.8306,1065.1821
216,line,1,55.0,1978.4744,2705.9202
217,line,0,55.0,1601.4745,2753.7068
217,line,1,55.0,587.2984,2408.5688
218,line,0,56.0,1373.152,852.78906
218,line,1,56.0,874.02814,852.78906
219,line,0,56.0,863.4087,858.0989
219,line,1,56.0,491.72067,1001.46423
220,line,0,56.0,2036.8802,2881.1426
220,line,1,56.0,1606.7839,3528.9421
221,line,0,56.0,1606.7844,3528.9414
221,line,1,56.0,1293.5051,3587.3494
222,line,0,56.0,2350.16,714.7336
222,line,1,56.0,1978.4722,1946.6128
223,line,0,56.0,1505.8977,1553.6862
223,line,1,56.0,1782.0084,2111.2173
224,line,0,56.0,3045.7473,2976.7195
224,line,1,56.0,2881.1433,2488.2166
225,line,0,56.0,2881.1426,2488.2156
225,line,1,56.0,2642.2007,2275.8225
226,line,0,57.0,3470.5334,820.9301
